M1,M2,M3,Inclination,Orientation
-206.156517223817,281.120023307553,-75.7942948866761,-40.7957065514372,-33.5770903587597
-205.914729034271,281.04038217403,-75.723821077875,-40.8025247491992,-33.5295348617638
-205.321717716311,281.04267400521,-75.7026216394552,-40.7082731919002,-33.5141222970748
-204.755062456927,280.973346112,-75.6991838926844,-40.6088077186655,-33.4395231921487
-204.887988665397,280.51784466487,-75.1995646953303,-40.6508055250486,-33.4395231921487
-205.415682794712,280.01077701618,-74.6712976082197,-40.722883615676,-33.2966848138226
-206.035623129044,279.830295310714,-74.1630840439386,-40.9073187299287,-33.2895228413835
-206.055676651874,280.474299872441,-74.5950942214673,-40.8638312332782,-33.3097482515516
-205.808731842172,280.740725247176,-75.1691979321884,-40.8397670058827,-33.4404972204005
-205.838525647519,280.961313998302,-75.5364638788672,-40.7593237314464,-33.5287900166301
-206.198343142861,280.637592844053,-75.3307720304152,-40.8207448070844,-33.5666625268883
-205.856860296963,280.10015843222,-74.791045787402,-40.8379335409383,-33.4293818391749
-205.128630939352,280.331633381453,-74.970381577278,-40.6965848528795,-33.3644657209866
-205.085086146922,280.531022694159,-75.2872272379853,-40.6628949345258,-33.5074186908717
-0.0335887913028518,0.0302298835246769,-0.0223925084366414,0.0718832849771136,-0.00355806790776235
-0.884503596233208,0.863229673300001,-0.821804824712042,0.0622747827527697,-0.223338948541995
-2.84944516590051,2.83713230288315,-2.72293035515768,0.00649161181883284,-0.845542466164312
-5.89705351482497,5.88588083781992,-5.72912531465008,-0.0327961041932884,-1.83996228581542
-10.0497370223742,10.0452679515721,-9.83367463783032,-0.0741579274237824,-3.20664424411892
-15.3780726297523,15.2884620305938,-15.1071208884349,-0.142454496603376,-4.9279641592966
-21.7453526070411,21.6423920912561,-21.3557413063521,-0.333713538195996,-7.04647560679282
-29.1931163943877,29.1886473235856,-27.3032151071486,-1.71838064168866,-9.33303557560091
-37.8287935783789,37.7560279383973,-32.2060149600831,-3.79908260428419,-11.6177047836851
-47.4665166502745,47.4150077444923,-35.9724676179346,-6.52664818800448,-13.8039398425657
-58.2062094495452,58.1890207156913,-38.6461178731331,-9.5491151488786,-15.8278559580859
-70.0406527079724,70.0515389060798,-40.215850344453,-12.778534465354,-17.3235622822749
-82.9889259201338,83.1917529796101,-40.6838422715158,-15.8199090334674,-18.2802299128048
-96.8814335786709,96.9158110463787,-40.2214653308452,-18.9753594985914,-19.143906493185
-110.634712492991,110.666225171723,-39.63137609764,-22.0742017335564,-19.9576211538298
-124.312933936149,124.413774508092,-39.2215966825624,-25.1850187864397,-20.7381615581365
-137.165523196524,138.337794845362,-39.1432160561885,-28.0326763240194,-21.568148220163
